week,n_contestants,judge_score,fan_vote_pct,judge_rank,fan_rank,system_rank,total_score,safety_margin,is_bottom_2,system
1,13,6.666666666666667,0.0784313725489715,5,7,7,12.0,6,False,Rank
2,12,6.5,0.0832034452295712,10,5,7,15.0,5,False,Rank
3,11,7.666666666666667,0.0900031070854565,8,6,7,14.0,4,False,Rank
4,10,6.666666666666667,0.101124340255348,9,5,8,14.0,2,False,Rank
5,9,7.0,0.109486814849965,8,6,8,14.0,1,True,Rank
6,8,7.333333333333333,0.1093456739991224,7,6,7,13.0,1,True,Rank
7,7,8.833333333333334,0.1271757614474769,5,4,6,9.0,1,True,Rank
8,6,7.5,0.1908863214315333,6,1,2,7.0,4,False,Rank
9,5,9.0,0.2720625156603984,5,1,5,6.0,0,True,Rank
1,13,6.666666666666667,0.0784313725489715,5,7,7,0.07843137254899557,6,False,Percentage
2,12,6.5,0.0832034452295712,11,6,10,0.07663189009852667,2,False,Percentage
3,11,7.666666666666667,0.0900031070854565,9,6,9,0.08639703879820272,2,False,Percentage
4,10,6.666666666666667,0.101124340255348,10,4,8,0.09320997804571118,2,False,Percentage
5,9,7.0,0.109486814849965,9,5,9,0.1013849387653171,0,True,Percentage
1,13,6.666666666666667,0.0784313725489715,5,7,7,12.0,6,False,Rank+Save
2,12,6.5,0.0832034452295712,11,6,9,17.0,3,False,Rank+Save
3,11,7.666666666666667,0.0900031070854565,9,6,8,15.0,3,False,Rank+Save
4,10,6.666666666666667,0.101124340255348,10,4,8,14.0,2,False,Rank+Save
5,9,7.0,0.109486814849965,9,6,8,15.0,1,True,Rank+Save
